CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
212,Male,49,96,88
213,Male,40,44,52
214,Male,39,93,56
215,Male,68,105,15
216,Male,42,66,29
217,Female,39,93,8
218,Male,39,44,5
219,Female,66,120,29
220,Male,69,65,47
221,Male,59,95,68
222,Male,23,147,76
223,Female,32,43,45
224,Female,60,146,2
225,Female,54,88,27
226,Female,50,31,95
227,Male,25,98,36
228,Female,61,83,36
229,Male,61,48,26
230,Male,22,20,43
231,Female,56,67,27
232,Female,21,140,69
233,Female,23,57,20
234,Female,62,129,11
235,Female,49,125,74
236,Female,69,94,38
237,Female,47,109,6
238,Female,64,132,72
239,Male,52,22,23
240,Female,57,146,47
241,,69,118,90
242,Male,33,146,46
243,Female,30,39,12
244,Male,67,110,90
245,Male,59,107,13
246,Female,47,75,62
247,Male,36,136,82
248,Male,34,65,89
249,Male,36,35,97
250,Male,45,19,60
251,Female,43,106,43
252,Male,54,75,76
253,Female,43,36,100
254,Male,40,84,68
255,Male,26,15,5
256,Male,29,147,37
257,Male,18,26,72
258,Female,18,104,92
259,Female,64,60,31
260,Male,51,48,9
261,Male,49,92,51
262,Female,65,59,29
263,Male,42,87,78
264,Male,57,40,40
265,Male,62,61,41
266,Female,18,135,86
267,Female,33,70,11
268,Female,56,108,23
269,Male,22,121,1
270,Male,39,77,46
271,Female,46,62,21
272,Female,20,75,90
273,Female,29,95,36
274,Female,43,40,54
275,Male,33,50,87
276,Female,68,15,57
277,Male,54,22,1
278,Female,39,127,63
279,Male,46,113,54
280,Female,31,61,55
281,Female,45,141,40
282,Female,22,70,15
283,Female,64,28,21
284,Male,66,42,47
285,Female,47,92,73
286,Male,63,144,53
287,Male,69,123,9
288,Male,22,28,74
289,Male,29,70,52
290,Female,33,129,57
291,Male,43,21,26
292,Male,43,17,41
293,Male,65,125,35
294,Female,38,121,63
295,Female,56,32,25
296,Female,53,52,90
297,Female,50,129,75
298,Male,47,29,38
299,Male,54,133,2
300,Female,40,42,7
Female,,,,
