CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Gender_Enc,Cluster,Segment,R_proxy,F_proxy,M_proxy,RFM_Segment
81,Male,42,78.0,59.0,0,4,Loyal Customers,Moderate,Moderate,High,Loyal Customers
82,Female,19,36.0,100.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
83,Male,45,89.0,81.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
84,Female,40,27.0,22.0,1,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
85,Female,28,96.0,80.0,1,3,VIP Customers,High,High,High,VIP Customers
86,Female,40,79.0,85.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
87,Male,24,51.0,72.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
88,Male,31,38.0,59.0,0,1,Discount Seekers,Moderate,Moderate,Low,Discount Seekers
89,Female,33,54.0,50.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
90,Male,57,106.0,21.0,0,0,New Customers,Low,Low,High,New Customers
91,Female,59,27.0,1.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
92,Female,18,58.0,83.0,1,1,Discount Seekers,High,High,Moderate,Discount Seekers
93,Female,30,34.0,54.0,1,4,Loyal Customers,Moderate,High,Low,Loyal Customers
94,Male,55,101.0,24.0,0,0,New Customers,Low,Low,High,New Customers
95,Female,29,41.0,73.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
96,Female,47,102.0,28.0,1,0,New Customers,Low,Low,High,New Customers
97,Female,49,104.0,28.0,1,0,New Customers,Low,Low,High,New Customers
98,Male,41,109.0,46.0,0,0,New Customers,Moderate,Moderate,High,New Customers
99,Female,50,29.0,14.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
100,Male,62,22.0,21.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
101,Male,38,43.0,27.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
102,Male,20,31.0,91.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
103,Male,40,91.0,71.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
104,Female,35,114.0,45.0,1,0,New Customers,Moderate,Moderate,High,New Customers
105,Female,26,60.0,47.0,1,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
106,Female,41,84.0,64.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
107,Female,36,120.0,27.0,1,0,New Customers,Low,Moderate,High,New Customers
108,Female,27,20.0,76.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
109,Female,43,82.0,87.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
110,Female,34,34.0,17.0,1,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
111,Female,36,104.0,91.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
112,Male,60,28.0,35.0,0,2,At-Risk / Churn,Moderate,Low,Low,At-Risk / Churn
113,Male,23,35.0,34.0,0,2,At-Risk / Churn,Low,High,Low,At-Risk / Churn
114,Male,30,75.0,63.0,0,4,Loyal Customers,High,High,High,Loyal Customers
115,Female,25,50.0,71.0,1,1,Discount Seekers,High,High,Moderate,Discount Seekers
116,Male,23,65.0,64.0,0,4,Loyal Customers,High,High,Moderate,Loyal Customers
117,Male,42,77.0,41.0,0,4,Loyal Customers,Moderate,Moderate,High,Loyal Customers
118,Male,34,28.0,34.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
119,Female,39,59.0,33.0,1,4,Loyal Customers,Low,Moderate,Moderate,Loyal Customers
120,Female,39,115.0,33.0,1,0,New Customers,Low,Moderate,High,New Customers
121,Male,31,52.0,45.0,0,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
122,Male,30,64.0,59.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
123,Female,29,100.0,53.0,1,0,New Customers,Moderate,High,High,New Customers
124,Male,40,43.0,8.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
125,Female,30,88.0,85.0,1,3,VIP Customers,High,High,High,VIP Customers
126,Female,41,119.0,26.0,1,0,New Customers,Low,Moderate,High,New Customers
127,Male,18,50.0,22.0,0,2,At-Risk / Churn,Low,High,Moderate,At-Risk / Churn
128,Male,30,60.0,52.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
129,Male,43,31.0,20.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
130,Female,57,98.0,16.0,1,0,New Customers,Low,Low,High,New Customers
131,Female,47,94.0,25.0,1,0,New Customers,Low,Low,High,New Customers
132,Male,37,122.0,89.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
133,Male,39,31.0,34.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
134,Male,39,114.0,91.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
135,Male,26,60.0,20.0,0,2,At-Risk / Churn,Low,High,Moderate,At-Risk / Churn
136,Male,46,109.0,72.0,0,3,VIP Customers,High,Low,High,VIP Customers
137,Male,63,112.0,43.0,0,0,New Customers,Moderate,Low,High,New Customers
138,Female,35,47.0,55.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
139,Male,44,85.0,86.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
140,Female,31,59.0,41.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
141,Female,43,60.0,42.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
142,Male,40,105.0,55.0,0,3,VIP Customers,Moderate,Moderate,High,VIP Customers
143,Male,47,120.0,40.0,0,0,New Customers,Moderate,Low,High,New Customers
144,Male,32,88.0,86.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
145,Female,51,98.0,79.0,1,3,VIP Customers,High,Low,High,VIP Customers
146,Male,19,34.0,16.0,0,2,At-Risk / Churn,Low,High,Low,At-Risk / Churn
147,Male,25,40.0,64.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
148,Female,64,104.0,24.0,1,0,New Customers,Low,Low,High,New Customers
149,Female,50,38.0,20.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
150,Female,18,109.0,63.0,1,3,VIP Customers,High,High,High,VIP Customers
151,Male,30,65.0,47.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
152,Female,18,87.0,73.0,1,3,VIP Customers,High,High,High,VIP Customers
153,Male,41,29.0,26.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
154,Male,59,130.0,30.0,0,0,New Customers,Low,Low,High,New Customers
155,Female,32,59.0,63.0,1,4,Loyal Customers,High,Moderate,Moderate,Loyal Customers
156,Male,32,122.0,75.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
157,Male,24,36.0,93.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
158,Male,31,47.0,83.0,0,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
159,Male,32,104.0,63.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
160,Male,25,41.0,59.0,0,1,Discount Seekers,Moderate,High,Low,Discount Seekers
161,Female,34,115.0,66.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
162,Female,32,45.0,88.0,1,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
163,Male,29,35.0,70.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
164,Female,41,93.0,24.0,1,0,New Customers,Low,Moderate,High,New Customers
165,Male,38,18.0,47.0,0,2,At-Risk / Churn,Moderate,Moderate,Low,At-Risk / Churn
166,Female,20,71.0,77.0,1,1,Discount Seekers,High,High,High,Discount Seekers
167,Female,42,92.0,60.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
168,Female,50,36.0,23.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
169,Female,54,20.0,20.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
170,Male,51,124.0,24.0,0,0,New Customers,Low,Low,High,New Customers
171,Male,26,43.0,93.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
172,Male,20,45.0,3.0,0,2,At-Risk / Churn,Low,High,Moderate,At-Risk / Churn
173,Male,56,77.0,33.0,0,4,Loyal Customers,Low,Low,High,Loyal Customers
174,Female,32,135.0,54.0,1,0,New Customers,Moderate,Moderate,High,New Customers
175,Male,31,39.0,79.0,0,1,Discount Seekers,High,Moderate,Low,Discount Seekers
176,Male,44,42.0,1.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
177,Female,25,44.0,75.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
178,Female,40,89.0,95.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
179,Male,33,56.0,71.0,0,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
180,Male,50,45.0,26.0,0,2,At-Risk / Churn,Low,Low,Moderate,At-Risk / Churn
181,Male,29,64.0,81.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
182,Male,54,19.0,8.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
183,Female,18,75.0,49.0,1,4,Loyal Customers,Moderate,High,High,Loyal Customers
184,Male,24,49.0,46.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
185,Female,27,105.0,71.0,1,3,VIP Customers,High,High,High,VIP Customers
186,Female,26,41.0,59.0,1,1,Discount Seekers,Moderate,High,Low,Discount Seekers
187,Male,43,55.0,62.0,0,4,Loyal Customers,High,Moderate,Moderate,Loyal Customers
188,Male,60,110.0,26.0,0,0,New Customers,Low,Low,High,New Customers
189,Female,54,106.0,15.0,1,0,New Customers,Low,Low,High,New Customers
190,Male,43,98.0,100.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
191,Female,59,22.0,26.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
192,Female,47,65.0,39.0,1,4,Loyal Customers,Moderate,Low,Moderate,Loyal Customers
193,Female,21,62.0,54.0,1,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
194,Male,29,38.0,77.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
195,Female,27,95.0,78.0,1,3,VIP Customers,High,High,High,VIP Customers
196,Female,51,113.0,92.0,1,3,VIP Customers,High,Low,High,VIP Customers
197,Female,25,51.0,57.0,1,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
198,Female,36,52.0,64.0,1,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
199,Male,32,60.0,36.0,0,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
200,Male,28,36.0,86.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
201,Female,27,55.0,68.0,1,1,Discount Seekers,High,High,Moderate,Discount Seekers
202,Male,51,23.0,37.0,0,2,At-Risk / Churn,Moderate,Low,Low,At-Risk / Churn
203,Female,48,15.0,30.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
204,Female,29,74.0,39.0,1,4,Loyal Customers,Moderate,High,High,Loyal Customers
205,Male,28,39.0,75.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
206,Female,56,24.0,11.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
207,Male,43,30.0,25.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
208,Female,24,51.0,62.0,1,4,Loyal Customers,High,High,Moderate,Loyal Customers
209,Female,55,18.0,20.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
210,Female,61,33.0,19.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
211,Female,52,108.0,42.0,1,0,New Customers,Moderate,Low,High,New Customers
212,Female,23,41.0,73.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
213,Male,25,25.0,72.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
214,Male,37,94.0,73.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
215,Male,21,59.0,79.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
216,Female,30,85.0,80.0,1,3,VIP Customers,High,High,High,VIP Customers
217,Male,54,99.0,91.0,0,3,VIP Customers,High,Low,High,VIP Customers
218,Female,30,39.0,81.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
219,Female,20,48.0,82.0,1,1,Discount Seekers,High,High,Moderate,Discount Seekers
220,Female,28,51.0,15.0,1,2,At-Risk / Churn,Low,High,Moderate,At-Risk / Churn
221,Female,31,58.0,92.0,1,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
222,Female,58,114.0,34.0,1,0,New Customers,Low,Low,High,New Customers
223,Male,56,34.0,27.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
224,Female,40,64.0,84.0,1,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
225,Female,29,86.0,85.0,1,3,VIP Customers,High,High,High,VIP Customers
226,Male,45,112.0,68.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
227,Female,29,64.0,63.0,1,4,Loyal Customers,High,High,Moderate,Loyal Customers
228,Male,32,99.0,84.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
229,Male,28,67.0,48.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
230,Female,34,29.0,72.0,1,1,Discount Seekers,High,Moderate,Low,Discount Seekers
231,Male,24,46.0,79.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
232,Male,48,96.0,19.0,0,0,New Customers,Low,Low,High,New Customers
233,Female,52,125.0,29.0,1,0,New Customers,Low,Low,High,New Customers
234,Female,69,114.0,52.0,1,0,New Customers,Moderate,Low,High,New Customers
235,Male,45,26.0,23.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
236,Male,23,51.0,78.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
237,Male,34,123.0,82.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
238,Male,31,26.0,10.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
239,Female,27,30.0,89.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
240,Male,41,29.0,8.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
241,Male,40,72.0,69.0,0,4,Loyal Customers,High,Moderate,High,Loyal Customers
242,Male,23,72.0,43.0,0,4,Loyal Customers,Moderate,High,High,Loyal Customers
243,Male,22,73.0,44.0,0,4,Loyal Customers,Moderate,High,High,Loyal Customers
244,Female,39,90.0,92.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
245,Female,31,30.0,12.0,1,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
246,Female,36,59.0,52.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
247,Male,45,127.0,30.0,0,0,New Customers,Low,Moderate,High,New Customers
248,Male,27,64.0,36.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
249,Male,40,86.0,51.0,0,4,Loyal Customers,Moderate,Moderate,High,Loyal Customers
250,Male,34,51.0,37.0,0,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
251,Male,21,96.0,94.0,0,3,VIP Customers,High,High,High,VIP Customers
252,Male,22,106.0,79.0,0,3,VIP Customers,High,High,High,VIP Customers
253,Female,37,41.0,44.0,1,4,Loyal Customers,Moderate,Moderate,Low,Loyal Customers
254,Female,30,106.0,71.0,1,3,VIP Customers,High,High,High,VIP Customers
255,Male,40,31.0,28.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
256,Male,49,112.0,36.0,0,0,New Customers,Moderate,Low,High,New Customers
257,Male,26,57.0,81.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
258,Female,23,29.0,78.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
259,Female,58,109.0,30.0,1,0,New Customers,Low,Low,High,New Customers
260,Female,38,32.0,1.0,1,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
261,Female,34,23.0,78.0,1,1,Discount Seekers,High,Moderate,Low,Discount Seekers
262,Female,45,70.0,37.0,1,4,Loyal Customers,Moderate,Moderate,High,Loyal Customers
263,Female,43,21.0,14.0,1,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
264,Female,58,98.0,41.0,1,0,New Customers,Moderate,Low,High,New Customers
265,Female,32,63.0,67.0,1,4,Loyal Customers,High,Moderate,Moderate,Loyal Customers
266,Male,22,36.0,61.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
267,Male,25,37.0,91.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
268,Female,30,37.0,88.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
269,Male,37,84.0,96.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
270,Male,42,98.0,81.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
271,Male,37,47.0,53.0,0,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
272,Male,33,76.0,45.0,0,4,Loyal Customers,Moderate,Moderate,High,Loyal Customers
273,Male,42,67.0,41.0,0,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
274,Female,33,48.0,45.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
275,Female,54,106.0,36.0,1,0,New Customers,Moderate,Low,High,New Customers
276,Male,51,105.0,20.0,0,0,New Customers,Low,Low,High,New Customers
277,Male,25,38.0,55.0,0,4,Loyal Customers,Moderate,High,Low,Loyal Customers
278,Male,21,42.0,97.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
279,Male,20,29.0,75.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
280,Male,19,32.0,86.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
281,Male,48,46.0,42.0,0,4,Loyal Customers,Moderate,Low,Moderate,Loyal Customers
282,Female,39,103.0,69.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
283,Male,43,104.0,66.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
284,Male,49,29.0,15.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
285,Female,64,89.0,39.0,1,0,New Customers,Moderate,Low,High,New Customers
286,Male,51,20.0,6.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
287,Female,46,119.0,36.0,1,0,New Customers,Moderate,Low,High,New Customers
288,Female,54,97.0,33.0,1,0,New Customers,Low,Low,High,New Customers
289,Male,37,88.0,71.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
290,Female,49,115.0,33.0,1,0,New Customers,Low,Low,High,New Customers
291,Male,51,22.0,31.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
292,Male,42,28.0,35.0,0,2,At-Risk / Churn,Moderate,Moderate,Low,At-Risk / Churn
293,Female,35,60.0,44.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
294,Male,32,113.0,62.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
295,Female,29,32.0,17.0,1,2,At-Risk / Churn,Low,High,Low,At-Risk / Churn
296,Female,43,119.0,37.0,1,0,New Customers,Moderate,Moderate,High,New Customers
297,Female,23,31.0,94.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
298,Female,28,107.0,95.0,1,3,VIP Customers,High,High,High,VIP Customers
299,Male,24,72.0,81.0,0,3,VIP Customers,High,High,High,VIP Customers
300,Male,34,26.0,19.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
301,Female,67,39.0,14.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
302,Male,44,126.0,35.0,0,0,New Customers,Moderate,Moderate,High,New Customers
303,Male,52,114.0,22.0,0,0,New Customers,Low,Low,High,New Customers
304,Male,24,29.0,60.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
305,Female,20,34.0,68.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
306,Male,36,70.0,65.0,0,4,Loyal Customers,High,Moderate,High,Loyal Customers
307,Female,51,78.0,35.0,1,4,Loyal Customers,Moderate,Low,High,Loyal Customers
308,Male,39,102.0,77.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
309,Female,30,41.0,92.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
310,Female,40,89.0,86.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
311,Male,42,105.0,19.0,0,0,New Customers,Low,Moderate,High,New Customers
312,Female,31,46.0,15.0,1,2,At-Risk / Churn,Low,Moderate,Moderate,At-Risk / Churn
313,Female,54,30.0,6.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
314,Male,27,64.0,47.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
